itemid,foruserid,activitytype,forusername,datetime,todo-list-name,publicinfo,id,projectId,for-user-avatar-url,extradescription,type,fromusername,description,lockdownId,link,isprivate,itemlink,latestActivityType,due-date,userid,from-user-avatar-url
10014206,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574520,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Accept data extract,,tasks/10014206,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014179,149180,new,Visier P.,2017-12-13T18:43:07Z,Production sign-off,,35574491,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Production sign-off,task,Paul S.,Request deployment configuration instructions,,tasks/10014179,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014211,149180,new,Visier P.,2017-12-13T18:43:07Z,Technical configuration,,35574525,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Technical configuration,task,Paul S.,Test SFTP,,tasks/10014211,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014195,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 load,,35574509,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 load,task,Paul S.,Sample 1 - Demo application,,tasks/10014195,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014172,,new,,2017-12-13T18:43:07Z,Pre - Project kick-off,,35574484,314397,,Pre - Project kick-off,task,Paul S.,,,tasks/10014172,0,tasklists/1343783,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014200,,new,,2017-12-13T18:43:07Z,Sample 1 requirements,,35574514,314397,,Sample 1 requirements,task,Paul S.,,,tasks/10014200,0,tasklists/1343774,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014184,149180,new,Visier P.,2017-12-13T18:43:07Z,Project kick-off,,35574498,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Project kick-off,task,Paul S.,Conduct kick-off call,,tasks/10014184,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91047,,,,new,Working Jira Tasks - Create Link and Filter for Tenant Working Items,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91047,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574530
10014189,,new,,2017-12-13T18:43:07Z,Project review,,35574503,314397,,Project review,task,Paul S.,,,tasks/10014189,0,tasklists/1343781,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014205,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574519,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Review data extract,,tasks/10014205,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014178,149180,new,Visier P.,2017-12-13T18:43:07Z,Production sign-off,,35574490,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Production sign-off,task,Paul S.,Publish BRD,,tasks/10014178,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014210,149182,new,Customer V.,2017-12-13T18:43:07Z,Technical configuration,,35574524,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Technical configuration,task,Paul S.,Configure SSO,,tasks/10014210,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014194,149182,new,Customer V.,2017-12-13T18:43:07Z,Sample 1 load,,35574508,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Sample 1 load,task,Paul S.,Sample 1 - Validate application and submit change requests,,tasks/10014194,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91046,,,,new,Google Drive - Create Link,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91046,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574529
10014171,149180,new,Visier P.,2017-12-13T18:43:07Z,Pre - Project kick-off,,35574483,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Pre - Project kick-off,task,Paul S.,Apply through Redmine for Sudo+ Access,,tasks/10014171,0,tasklists/1343783,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014199,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 requirements,,35574513,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 requirements,task,Paul S.,Sample 1 - Update BRD with requirements,,tasks/10014199,0,tasklists/1343774,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014183,149180,new,Visier P.,2017-12-13T18:43:07Z,Project kick-off,,35574497,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Project kick-off,task,Paul S.,Update Salesforce: Customer Success Information on Account,,tasks/10014183,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014204,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574518,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Update BRD with requirements,,tasks/10014204,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014188,129740,new,Farhan V.,2017-12-13T18:43:07Z,Project review,,35574502,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/userlogo1494501363069557100.png,Project review,task,Paul S.,Send customer onboarding survey,,tasks/10014188,0,tasklists/1343781,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014193,,new,,2017-12-13T18:43:07Z,Sample 1 extract,,35574507,314397,,Sample 1 extract,task,Paul S.,,,tasks/10014193,0,tasklists/1343773,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014177,149180,new,Visier P.,2017-12-13T18:43:07Z,Production sign-off,,35574489,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Production sign-off,task,Paul S.,Relabel attributes,,tasks/10014177,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014209,149180,new,Visier P.,2017-12-13T18:43:07Z,Technical configuration,,35574523,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Technical configuration,task,Paul S.,Test SSO,,tasks/10014209,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014182,149180,new,Visier P.,2017-12-13T18:43:07Z,Project kick-off,,35574496,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Project kick-off,task,Paul S.,Provision new  users in customer tenant,,tasks/10014182,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
262746,,,,new,Meeting Notes,,314397,new,207280,2017-12-13T18:43:07Z,,0,notebook,notebooks/262746,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,,,,Paul S.,35574528
10014170,149180,new,Visier P.,2017-12-13T18:43:07Z,Pre - Project kick-off,,35574482,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Pre - Project kick-off,task,Paul S.,Review COBQ with CVM & AE,,tasks/10014170,0,tasklists/1343783,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014198,,new,,2017-12-13T18:43:07Z,Sample 1 load,,35574512,314397,,Sample 1 load,task,Paul S.,,,tasks/10014198,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014203,149183,new,DM Engineer V.,2017-12-13T18:43:07Z,Sample 2 load,,35574517,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_b01b5346ba961d76d02dc63f14c0f37c.png/621af0ddabc4f9cd0460897ab52dc061.png,Sample 2 load,task,Paul S.,Sample 2 - Build load routines,,tasks/10014203,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014187,129740,new,Farhan V.,2017-12-13T18:43:07Z,Project review,,35574501,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/userlogo1494501363069557100.png,Project review,task,Paul S.,Conduct project review meeting,,tasks/10014187,0,tasklists/1343781,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014192,149182,new,Customer V.,2017-12-13T18:43:07Z,Sample 1 extract,,35574506,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Sample 1 extract,task,Paul S.,Sample 1 - Send data extract,,tasks/10014192,0,tasklists/1343773,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014176,149182,new,Customer V.,2017-12-13T18:43:07Z,Production sign-off,,35574488,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Production sign-off,task,Paul S.,Submit deployment configuration instructions,,tasks/10014176,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014208,,new,,2017-12-13T18:43:07Z,Sample 2 load,,35574522,314397,,Sample 2 load,task,Paul S.,,,tasks/10014208,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014181,,new,,2017-12-13T18:43:07Z,Production sign-off,,35574493,314397,,Production sign-off,task,Paul S.,,,tasks/10014181,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014213,,new,,2017-12-13T18:43:07Z,Technical configuration,,35574527,314397,,Technical configuration,task,Paul S.,,,tasks/10014213,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014169,149180,new,Visier P.,2017-12-13T18:43:07Z,Pre - Project kick-off,,35574481,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Pre - Project kick-off,task,Paul S.,"Pre - Project Phone Call - CVM, PM, AE & Customer",,tasks/10014169,0,tasklists/1343783,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014197,149183,new,DM Engineer V.,2017-12-13T18:43:07Z,Sample 1 load,,35574511,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_b01b5346ba961d76d02dc63f14c0f37c.png/621af0ddabc4f9cd0460897ab52dc061.png,Sample 1 load,task,Paul S.,Sample 1 - Build load routines,,tasks/10014197,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014202,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574516,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Validate internal data version,,tasks/10014202,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014186,,new,,2017-12-13T18:43:07Z,Project kick-off,,35574500,314397,,Project kick-off,task,Paul S.,,,tasks/10014186,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91049,,,,new,Salesforce - Customer Profile - Create Link,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91049,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574532
10014174,,new,,2017-12-13T18:43:07Z,Production deployment,,35574486,314397,,Production deployment,task,Paul S.,,,tasks/10014174,0,tasklists/1343780,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014191,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 extract,,35574505,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 extract,task,Paul S.,Sample 1 - Review data extract,,tasks/10014191,0,tasklists/1343773,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014175,149182,new,Customer V.,2017-12-13T18:43:07Z,Production sign-off,,35574487,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Production sign-off,task,Paul S.,Sign-off on BRD,,tasks/10014175,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014207,149182,new,Customer V.,2017-12-13T18:43:07Z,Sample 2 load,,35574521,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Sample 2 load,task,Paul S.,Sample 2 - Send data extract,,tasks/10014207,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014180,149182,new,Customer V.,2017-12-13T18:43:07Z,Production sign-off,,35574492,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Production sign-off,task,Paul S.,Submit attribute relabeling requests,,tasks/10014180,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
